"Keys","EN","DE","FR","DA","ZH","ES","RU","VI","JA","NO","KO","TE","HI","AR"
"Ring","Ring","Ring","Ring","Ring","环","Anillo","Кольцо","Nhẫn","リング","Ringe","반지","రింగ్","अंगूठी","حلقة"
"Sphere","Sphere","Sphere","Sphere","Sphere","领域","Esfera","сфера","Quả cầu","球","Sphere","구체","గోళము","क्षेत्र","جسم كروى"
"Box","Box","Box","Box","Box","框","Caja","коробка","Cái hộp","ボックス","Eske","상자","బాక్స్","डिब्बा","صندوق"
"Spiral","Spiral","Spiral","Spiral","Spiral","螺旋","Espiral","спиральный","đường xoắn ốc","スパイラル","spiral","나선","స్పైరల్","कुंडली","حلزوني"
"Torus","Torus","Torus","Torus","Torus","花托","Toro","торус","hình xuyến","トーラス","torus","큰 쇠시리","తోరుస్","टोरस्र्स","نتوء مستدير"
"Shape","Shape","Shape","Shape","Shape","形状","Forma","форма","hình dáng","形状","Form","모양","ఆకారం","आकार","شكل"
"Fill","Fill","Fill","Fill","Fill","填","Llenar","заполнить","Lấp đầy","埋めます","Fylle","가득 따르다","పూరించండి","भरना","ملء"
"Surface","Surface","Surface","Surface","Surface","表面","Superficie","поверхность","Bề mặt","表面","Flate","표면","ఉపరితల","सतह","سطح - المظهر الخارجي"
"Ordered","Ordered","Ordered","Ordered","Ordered","有序","Ordenado","Приказал","ra lệnh","順序付けられました","bestilt","주문","ఆదేశించారు","आदेश दिया","أمر"
"Random","Random","Random","Random","Random","随机","Aleatorio","случайный","ngẫu nhiên","ランダム","Tilfeldig","닥치는대로의","యాధృచ్ఛిక","बिना सोचे समझे","عشوائية"
"Spacing","Spacing","Spacing","Spacing","Spacing","间距","Espaciado","расстояние","khoảng cách","スペーシング","Spacing","간격","అంతరం","अंतर","مباعدة"
"Linear","Linear","Linear","Linear","Linear","线性","Lineal","линейный","tuyến tính","リニア","lineær","선의","లీనియర్","रैखिक","خطي"
"Quadratic","Quadratic","Quadratic","Quadratic","Quadratic","二次","Cuadrático","квадратный","phương trình bậc hai","二次の","kvadratisk","이차","వర్గ","द्विघात","تربيعي"
"Cubic","Cubic","Cubic","Cubic","Cubic","立方体","Cúbico","кубический","Cubic","キュービック","Cubic","입방의","క్యూబిక్","घन","مكعب"
"Exponential","Exponential","Exponential","Exponential","Exponential","指数","Exponencial","экспоненциальный","số mũ","指数","eksponentiell","지수의","ఘాతీయ","घातीय","الأسي"
"Spriral Type","Spriral Type","Spriral Type","Spriral Type","Spriral Type","Spriral类型","Tipo spriral","Spriral Тип","Loại Spriral","Spriralタイプ","Spriral Type","Spriral 유형","Spriral టైప్","spriral प्रकार","Spriral نوع"
"Spriral Revolutions","Spriral Revolutions","Spriral Revolutions","Spriral Revolutions","Spriral Revolutions","Spriral革命","spriral Revoluciones","Spriral Обороты","Spriral Revolutions","Spriral革命","Spriral Revolutions","Spriral 혁명","Spriral రివల్యూషన్స్","spriral क्रांतियों","Spriral الثورات"
"Solar System","Solar System","Solar System","Solar System","Solar System","太阳系","Sistema solar","Солнечная система","Hệ mặt trời","太陽系","Solsystemet","태양계","సౌర వ్యవస్థ","सौर मंडल","النظام الشمسي"
"Date","Date","Date","Date","Date","日期","Fecha","Дата","Ngày","日付","Dato","날짜","తేదీ","तारीख","تاريخ"
"Start","Start","Start","Start","Start","开始","comienzo","Начало","Khởi đầu","開始","Start","스타트","ప్రారంభం","प्रारंभ","بداية"
"Encounter","Encounter","Encounter","Encounter","Encounter","遭遇","Encuentro","стычка","Gặp gỡ","出会い","Støte på","교전","ఎన్కౌంటర్","मुठभेड़","يواجه .. ينجز"
"Date Meaning","Date Meaning","Date Meaning","Date Meaning","Date Meaning","日期的含义","fecha Significado","Дата Значение","ngày Ý nghĩa","日付意味","Dato Meaning","날짜의 의미","తేదీ మీనింగ్","दिनांक अर्थ","تاريخ معنى"
"Dwarfs And Major Asteroids","Dwarfs And Major Asteroids","Dwarfs And Major Asteroids","Dwarfs And Major Asteroids","Dwarfs And Major Asteroids","小矮人及主要小行星","Enanos y asteroides mayores","Гномы и крупные астероиды","Chú lùn Và chính tiểu hành tinh","ドワーフや主要な小惑星","Dverger og store asteroider","난쟁이와 주요 소행성","డ్వార్ఫ్స్ మరియు మేజర్ గ్రహ","बौनों और मेजर क्षुद्र ग्रह","الأقزام والكويكبات الرئيسية"
"Dwarfs And Asteroids","Dwarfs And Asteroids","Dwarfs And Asteroids","Dwarfs And Asteroids","Dwarfs And Asteroids","小矮人和小行星","Enanos y asteroides","Карлики и астероиды","Chú lùn Và tiểu hành tinh","ドワーフや小惑星","Dverger og asteroider","난쟁이 그리고 소행성","డ్వార్ఫ్స్ మరియు గ్రహ","बौनों और क्षुद्रग्रहों","الأقزام والكويكبات"
"Dwarfs And Many Asteroids","Dwarfs And Many Asteroids","Dwarfs And Many Asteroids","Dwarfs And Many Asteroids","Dwarfs And Many Asteroids","小矮人等许多小行星","Muchos enanos y asteroides","Гномы и многие астероиды","Chú lùn Và Nhiều tiểu hành tinh","ドワーフ、多くの小惑星","Dverger og mange asteroider","난쟁이 그리고 많은 소행성","డ్వార్ఫ్స్ మరియు అనేక గ్రహ","बौनों और कई क्षुद्रग्रहों","الأقزام والعديد من الكويكبات"
"Asteroids & Dwarfs","Asteroids & Dwarfs","Asteroids & Dwarfs","Asteroids & Dwarfs","Asteroids & Dwarfs","小行星和小矮人","Asteroides y enanos","Астероиды и гномы","Tiểu hành tinh & chú lùn","小惑星＆ドワーフ","Asteroids & Dwarfs","소행성 & 난쟁이","గ్రహ & మరుగుజ్జులు","क्षुद्र ग्रह और बौनों","الكويكبات والأقزام"
"Earths Moon","Earths Moon","Earths Moon","Earths Moon","Earths Moon","地球月亮","tierras Luna","Земли Луна","Trái đất Mặt trăng","地球の月","Earths Moon","지구가 달","భూములు చంద్రుడు","पृथ्वी चंद्रमा","أرض القمر"
"Major Moons","Major Moons","Major Moons","Major Moons","Major Moons","主要月亮","Lunas principales","Основные Moons","mặt trăng lớn","主なムーンズ","store Moons","주요 달","మేజర్ మూన్స్","मेजर चन्द्रमा","أقمار الرئيسية"
"All Moons","All Moons","All Moons","All Moons","All Moons","所有月亮","todas las lunas","Все Moons","Tất cả các mặt trăng","すべてムーンズ","alle Moons","모든 달","అన్ని మూన్స్","सभी चन्द्रमा","جميع أقمار"
"Just Saturn","Just Saturn","Just Saturn","Just Saturn","Just Saturn","只是土星","Sólo Saturno","Просто Сатурн","chỉ cần Saturn","ただ、土星","bare Saturn","그냥 토성","జస్ట్ సాటర్న్","बस शनि","فقط زحل"
"Visitor","Visitor","Visitor","Visitor","Visitor","游客","Visitante","посетитель","Khách thăm quan","ビジター","Besøkende","방문객","సందర్శకుల","आगंतुक","زائر"
"Include Rogue Body","Include Rogue Body","Include Rogue Body","Include Rogue Body","Include Rogue Body","包括盗贼身体","Incluir Rogue Cuerpo","Включите Rogue Body","Bao gồm Rogue Body","ローグ本体を含みます","Inkluder Rogue Body","악성 바디를 포함","రోగ్ శరీర చేర్చండి","दुष्ट शरीर को शामिल करें","تشمل روغ الجسم"
"Rogue Body","Rogue Body","Rogue Body","Rogue Body","Rogue Body","盗贼身体","cuerpo Rogue","Rogue Body","Body Rogue","ローグボディ","Rogue Body","악성 바디","రోగ్ శరీర","दुष्ट शरीर","الجسم المارقة"
"Use Different Mass","Use Different Mass","Use Different Mass","Use Different Mass","Use Different Mass","使用不同的质量","Utilice masa diferente","Использование различных масс","Sử dụng hàng loạt khác nhau","異なる質量を使用してください","Bruk ulike masse","다른 질량을 사용하여","వివిధ మాస్ ఉపయోగించండి","विभिन्न जन का प्रयोग करें","استخدام الإعلام المختلفة"
"Body Mass","Body Mass","Body Mass","Body Mass","Body Mass","身体质量","Masa corporal","Масса тела","Body Mass","ボディマス","Kroppsmasse","체질량","బాడీ మాస్","शरीर का द्रव्यमान","كتلة الجسم"
"Distance from Aim Point","Distance from Aim Point","Distance from Aim Point","Distance from Aim Point","Distance from Aim Point","从目标点距离","Distancia desde el Punto Objetivo","Расстояние от точки Aim","Khoảng cách từ Aim Point","目的点からの距離","Avstand fra Aim Point","목표 지점까지의 거리","ఎయిమ్ పాయింట్ నుండి దూరం","उद्देश्य प्वाइंट से दूरी","المسافة من الهدف نقطة"
"Aim Target","Aim Target","Aim Target","Aim Target","Aim Target","瞄准目标","objetivo objetivo","Цель Цель","Mục đích Target","ターゲットを目指します","Målet Target","목표 대상","ఎయిమ్ టార్గెట్","उद्देश्य लक्ष्य","الهدف الهدف"
"Aim Point X Offset","Aim Point X Offset","Aim Point X Offset","Aim Point X Offset","Aim Point X Offset","瞄准点X偏移","Objetivo El punto X Offset","Цель Точка X Offset","Mục đích Point X offset","目的点Xオフセット","Målet Point X Offset","목표 지점 X 오프셋","ఎయిమ్ పాయింట్ X ఆఫ్సెట్","उद्देश्य प्वाइंट एक्स ऑफसेट","الهدف نقطة X أوفست"
"Aim Point Y Offset","Aim Point Y Offset","Aim Point Y Offset","Aim Point Y Offset","Aim Point Y Offset","瞄准点Y偏移","Aim Point Y Offset","Цель точки Смещение по оси Y","Mục đích Point Y offset","目的ポイントYオフセット","Hensikten Point Y offset","목표 지점 Y 오프셋","ఎయిమ్ పాయింట్ Y ఆఫ్సెట్","उद्देश्य प्वाइंट वाई ऑफसेट","الهدف نقطة Y أوفست"
"1 - Delete Rogue Body","1 - Delete Rogue Body","1 - Delete Rogue Body","1 - Delete Rogue Body","1 - Delete Rogue Body","1  - 删除流氓体","1 - Eliminar Rogue Cuerpo","1 - Удалить Rogue Body","1 - Xóa Rogue Body","1  - ローグボディを削除します","1 - Slett Rogue Body","1 - 삭제 악성 바디","1 - తొలగించు రోగ్ శరీర","1 - हटाएँ दुष्ट शरीर","1 - حذف روغ الجسم"
